region,year,online_buyers_pct,indicator_note
Ульяновская область,2022,88.9,proxy_population_internet_users_pct
Ульяновская область,2024,22.7,proxy_fixed_broadband_subscriptions_per_100
Хабаровский край,2022,93.0,proxy_population_internet_users_pct
Хабаровский край,2024,29.1,proxy_fixed_broadband_subscriptions_per_100
Ханты-Мансийский автономный округ – Югра,2022,97.3,proxy_population_internet_users_pct
Ханты-Мансийский автономный округ – Югра,2024,25.5,proxy_fixed_broadband_subscriptions_per_100
Челябинская область,2022,92.0,proxy_population_internet_users_pct
Челябинская область,2024,28.3,proxy_fixed_broadband_subscriptions_per_100
Чеченская Республика,2022,97.3,proxy_population_internet_users_pct
Чеченская Республика,2024,7.0,proxy_fixed_broadband_subscriptions_per_100
Чувашская Республика,2022,83.7,proxy_population_internet_users_pct
Чувашская Республика,2024,20.9,proxy_fixed_broadband_subscriptions_per_100
Чукотский автономный округ,2022,97.8,proxy_population_internet_users_pct
Чукотский автономный округ,2024,18.3,proxy_fixed_broadband_subscriptions_per_100
Ямало-Ненецкий автономный округ,2022,97.2,proxy_population_internet_users_pct
Ямало-Ненецкий автономный округ,2024,25.4,proxy_fixed_broadband_subscriptions_per_100
Ярославская область,2022,86.5,proxy_population_internet_users_pct
Ярославская область,2024,29.6,proxy_fixed_broadband_subscriptions_per_100
в том числе:,2022,,proxy_population_internet_users_pct
в том числе:,2022,,proxy_population_internet_users_pct
в том числе:,2024,,proxy_fixed_broadband_subscriptions_per_100
в том числе:,2024,,proxy_fixed_broadband_subscriptions_per_100
г. Москва,2022,97.9,proxy_population_internet_users_pct
г. Москва1),2024,34.8,proxy_fixed_broadband_subscriptions_per_100
г. Санкт-Петербург,2022,93.3,proxy_population_internet_users_pct
г. Санкт-Петербург2),2024,28.3,proxy_fixed_broadband_subscriptions_per_100
г. Севастополь,2022,95.0,proxy_population_internet_users_pct
г. Севастополь,2024,22.8,proxy_fixed_broadband_subscriptions_per_100
