region,year,share_online
Тамбовская область,2019,1.0
Тверская область,2019,0.9
Тульская область,2019,0.5
Ярославская область,2019,0.5
г.Москва,2019,4.3
Северо-Западный федеральный округ,2019,2.7
Республика Карелия,2019,1.1
Республика Коми,2019,0.2
Архангельская область,2019,1.7
Ненецкий автономный округ (Архангельская область),2019,1.9
Архангельская область (кроме Ненецкого автономного округа),2019,1.7
Вологодская область,2019,1.5
Калининградская область,2019,0.5
Ленинградская область,2019,1.4
Мурманская область,2019,0.9
Новгородская область,2019,1.1
Псковская область,2019,0.9
г. Санкт-Петербург,2019,4.5
Южный федеральный округ,2019,0.9
Республика Адыгея,2019,1.0
Республика Калмыкия,2019,0.1
Республика Крым,2019,1.0
Краснодарский край,2019,0.7
Астраханская область,2019,0.4
Волгоградская область,2019,1.7
Ростовская область,2019,0.8
г. Севастополь,2019,2.9
Северо-Кавказский федеральный округ,2019,0.3
Республика Дагестан,2019,0.1
Республика Ингушетия,2019,0.0
Кабардино-Балкарская Республика,2019,0.1
Карачаево-Черкесская Республика,2019,0.2
Республика Северная Осетия -Алания,2019,0.2
Чеченская Республика,2019,0.0
Ставропольский край,2019,0.7
Приволжский федеральный округ,2019,1.1
Республика Башкортостан,2019,0.2
Республика Марий Эл,2019,0.8
Республика Мордовия,2019,0.7
Республика Татарстан,2019,2.0
Удмуртская Республика,2019,0.5
Чувашская Республика,2019,1.0
Пермский край,2019,0.8
Кировская область,2019,0.9
Нижегородская область,2019,2.2
Оренбургская область,2019,0.3
Пензенская область,2019,0.3
Самарская область,2019,1.2
Саратовская область,2019,0.8
Ульяновская область,2019,0.4
Уральский федеральный округ,2019,1.3
Курганская область,2019,0.7
Свердловская область,2019,2.3
Тюменская область,2019,0.4
в том числе: Ханты-Мансийский авт. округ,2019,0.4
Ямало-Ненецкий авт. округ,2019,0.4
Тюменская область без авт. округов,2019,0.5
Челябинская область,2019,0.9
Сибирский федеральный округ1),2019,1.9
Республика Алтай,2019,1.0
Республика Тыва,2019,1.1
Республика Хакасия,2019,0.3
Алтайский край,2019,0.8
Красноярский край,2019,1.6
Иркутская область,2019,0.4
Кемеровская область - Кузбасс,2019,1.0
Новосибирская область,2019,5.3
Омская область,2019,1.1
Томская область,2019,3.3
Дальневосточный федеральный округ1),2019,0.4
Республика Бурятия,2019,0.1
Республика Саха (Якутия),2019,0.1
Забайкальский край,2019,0.2
Камчатский край,2019,0.3
Приморский край,2019,0.8
Хабаровский край,2019,0.6
Амурская область,2019,0.6
Магаданская область,2019,0.3
Сахалинская область,2019,0.3
Еврейская авт.область,2019,0.3
Центральный федеральный округ,2020,6.1
Белгородская область,2020,2.1
Брянская область,2020,1.3
Владимирская область,2020,1.5
Воронежская область,2020,2.4
Ивановская область,2020,2.0
Калужская область,2020,2.0
Костромская область,2020,2.1
Курская область,2020,1.6
Липецкая область,2020,2.3
Московская область,2020,6.2
Орловская область,2020,2.1
Рязанская область,2020,1.3
Смоленская область,2020,1.3
Тамбовская область,2020,2.3
Тверская область,2020,1.8
Тульская область,2020,1.2
Ярославская область,2020,1.3
г.Москва,2020,9.3
Северо-Западный федеральный округ,2020,4.4
Республика Карелия,2020,1.4
Республика Коми,2020,1.0
Архангельская область,2020,3.0
Ненецкий автономный округ (Архангельская область),2020,2.4
Архангельская область (кроме Ненецкого автономного округа),2020,3.0
Вологодская область,2020,2.9
Калининградская область,2020,1.4
Ленинградская область,2020,2.3
Мурманская область,2020,1.5
Новгородская область,2020,2.1
Псковская область,2020,1.1
г. Санкт-Петербург,2020,7.3
Южный федеральный округ,2020,2.8
Республика Адыгея,2020,2.6
Республика Калмыкия,2020,0.8
Республика Крым,2020,2.4
Краснодарский край,2020,2.9
Астраханская область,2020,0.9
Волгоградская область,2020,2.6
Ростовская область,2020,2.8
г. Севастополь,2020,7.8
